CH4,C2H6
2.129,11.191
2.134,11.279
2.128,11.172
2.132,11.502
2.164,12.384
2.21,14.162
2.218,14.789
2.229,15.023
2.246,15.502
2.291,17.188
2.323,18.578
2.324,18.373
2.328,18.723
2.357,19.822
2.418,22.102
2.447,23.044
2.453,23.142
2.474,24.149
2.507,25.233
2.584,28.195
2.632,29.629
2.74,33.516
2.76,34.392
2.716,33.038
2.64,30.142
2.644,30.238
2.603,28.683
2.644,30.203
2.594,28.207
2.696,32.038
2.753,34.248
2.849,37.935
2.938,40.684
3.058,45.146
3.126,47.525
3.162,48.378
3.161,48.8
3.124,47.324
3.124,47.506
3.101,46.933
2.941,40.938
2.894,39.129
2.956,41.283
3.021,43.823
3.011,43.254
2.976,42.517
2.971,42.024
2.966,42.111
2.942,41.325
2.759,34.417
2.796,36.011
2.898,39.303
3.003,43.258
3.035,44.395
2.937,40.803
2.79,35.305
2.859,37.463
2.885,39.134
2.883,38.828
2.861,38.151
2.808,36.11
2.827,36.964
2.926,40.627
2.917,40.8
2.926,40.941
2.833,37.231
2.738,33.863
2.58,27.934
2.488,24.229
2.503,24.52
2.591,28.217
2.663,30.6
2.69,31.637
2.65,29.917
2.574,27.35
2.456,23.121
2.375,20.145
2.387,20.51
2.457,22.976
2.502,24.777
2.502,24.777
2.572,27.356
2.593,28.068
2.424,22.29
2.349,19.058
2.278,16.264
2.255,15.804
2.252,15.321
2.267,16.242
2.295,17.01
2.295,17.131
2.218,14.495
2.163,12.125
2.129,11.21
2.111,10.103
2.109,10.189
2.121,10.474
2.135,11.241
2.136,11.427
2.145,11.653
2.151,11.955
2.15,12.075
2.138,11.244
2.124,10.949
2.132,11.311
2.129,10.97
2.139,11.41
2.133,11.195
2.128,11.102
2.148,11.748
2.148,11.769
2.139,11.545
2.14,11.505
2.152,11.948
2.139,11.273
2.136,10.968
2.134,11.011
2.13,10.885
2.114,10.298
2.117,10.467
2.124,10.629
2.13,11.276
2.144,11.767
2.12,10.73
2.113,10.258
2.11,10.251
2.119,10.646
2.132,11.242
2.136,11.395
2.147,11.859
2.16,12.315
2.175,12.802
2.216,14.34
2.223,14.473
2.217,14.409
2.189,13.312
2.177,12.845
2.192,13.624
2.209,14.255
2.186,13.172
2.152,11.898
2.135,11.59
2.123,11.043
2.099,10.165
2.098,10.011
2.099,10.126
2.093,10.276
2.093,9.997
2.105,10.554
2.122,10.881
2.118,10.802
2.112,10.339
2.106,10.528
2.102,10.139
2.105,10.241
2.112,10.725
2.105,10.397
2.099,10.318
2.099,10.157
2.109,10.529
2.102,10.41
2.095,10.153
2.088,9.98
2.089,9.699
2.086,9.723
